"Perfil Estructural ""C""";;;;;;;;
;;;;;;;;
NORMAS DE FABRICACIÓN: IRAM - IAS - U500 - 205 - 3;;;;;;;;
(Para vivienda industrializada, paneles, cabriadas, entrepisos);;;;;;;;
;;;;;;;;
;;;Valores Estáticos Relativos a los ejes XX-YY;;;;;
Medidas;Seccion;Peso;Ix ;Iy ;Wx;Wy ;ix ;iy
;cm2;mts;cm4;cm4;cm3;cm3;cm;cm
60x40x15x1.60;2.42;1.99;14.35;5.79;4.78;2.45;2.42;1.54
60x40x15x2.00;3.14;2.46;17.94;7.23;5.98;3.06;2.39;1.52
80x40x15x1.60;2.87;2.25;29.03;6.73;7.26;2.66;3.18;1.53
80x40x15x2.00;3.54;2.78;35.25;8.07;8.81;3.18;3.16;1.51
80x40x15x2.50;4.34;3.41;42.45;9.56;10.61;3.76;3.13;1.48
80x50x15x1,60;3.19;2.51;33.95;11.46;8.49;3.69;3.26;1.89
80x50x15x2.00;3.94;3.09;41.03;13.82;10.33;4.44;3.24;1.87
80x50x15x2.50;4.85;3.86;51.23;18.62;12.81;6.28;3.17;1.91
100x50x15x1.60;3.51;2.76;56.71;12.41;11.34;3.79;4.02;1.88
100x50x15x2.00;4.34;3.41;69.23;14.98;13.85;4.57;4.01;1.86
100x50x15x2.50;5.34;4.19;83.99;17.91;16.81;5.46;3.97;1.83
100x50x15x3.20;6.69;5.25;103.01;21.47;20.61;6.54;3.93;1.79
120x50x15x1.60;3.83;3.01;86.48;13.21;14.41;3.87;4.75;1.86
120x50x15x2.00;4.74;3.72;105.81;15.95;17.63;4.67;4.73;1.83
120x50x15x2.50;5.98;4.75;131.22;21.56;22.12;6.36;4.66;1.86
120x50x15x3.20;7.62;5.92;164.17;25.99;27.31;7.92;4.62;1.84
140x60x20x1.60;4.63;3.64;143.65;24.14;20.52;6.02;5.57;2.28
140x60x20x2.00;5.74;4.51;176.41;29.35;25.21;7.32;5.55;2.26
140x60x20x2.50;7.09;5.56;215.62;35.41;30.81;8.82;5.52;2.23
140x60x20x3.20;8.93;7.01;267.31;43.08;38.19;10.72;5.47;2.21
160x60x20x2.00;6.14;4.82;240.95;30.68;30.12;7.42;6.27;2.24
160x60x20x2.50;7.59;5.96;294.93;37.03;36.87;8.95;6.23;2.21
160x60x20x3.20;9.57;7.51;366.41;45.06;45.81;10.89;6.19;2.17
180x70x25x2.00;6.96;5.48;351.45;46.81;38.87;9.52;7.12;2.61
180x70x25x2.50;8.62;6.81;429.52;56.07;47.69;11.63;7.11;2.58
180x70x25x3.20;10.88;8.61;536.65;68.72;59.82;14.12;7.07;2.55
200x80x25x2.50;9.84;7.72;612.63;87.41;61.26;15.96;7.89;2.98
200x80x25x3.20;12.45;9.77;766.45;107.76;76.64;19.64;7.85;2.94
220x80x25x2.50;10.34;8.12;765.36;90.14;69.58;16.12;8.61;2.95
220x80x25x3.20;13.09;10.27;958.53;111.14;87.14;19.86;8.56;2.91
240x80x25x2.50;10.55;8.31;914.98;84.68;76.25;14.53;9.31;2.83
240x80x25x3.20;13.41;10.52;1146.37;104.16;95.53;17.86;9.25;2.79
260x80x25x2.50;11.09;8.71;1104.99;86.68;85.01;14.64;9.98;2.81
260x80x25x3.20;14.05;11.03;1385.52;106.62;106.58;14.01;9.93;2.76
280x80x25x2.50;11.42;8.96;1137.12;89.28;78.53;15.07;10.27;2.74
280x80x25x3.20;14.38;11.28;1432.77;112.49;98.94;18.45;10.16;2.73
300x90x30x2.50;13.07;10.27;1822.16;92.02;114.12;15.02;12.03;2.72
300x90x30x3.20;16.61;13.03;2293.14;113.16;143.02;19.14;11.98;2.67
